ima_formula,mineral_name_plain,cation_charge,so4_charge,non_s_anion_charge,cat_mols,na_mols,nh4_mols,fe_mols,co_mols,al_mols,k_mols,mg_mols,mn_mols,ni_mols,ca_mols,zn_mols,y_mols,cu_mols,u_mols,s_mols,non_s_anion_mols,h_mols,h2o_mols,oh_mols,_ima_validity,chemistry,chemIG,Z_chemical_formula_units,elements,number_of_elements,U_redox,no_localities,no_localities_corrected_below_10,_mineral_id,paragenetic_mode,metamorphic,primary,secondary,abiotic,biotic,v_anhydrous,IG_anhydrous,IG_total_anhydrous,IG_n_anhydrous,v_hydrous,IG_hydrous,Igmax_hydrous,IG_total_hydrous,IG_n_hydrous,_H_atoms,_H_dummy,_A_min_cif,_ICSD_code,discovery,discovery_method,max_size_cm,color,luster,hardness,avg_hardness,topology,anion_topology,structure,_pdf_of_journal,_Xstal_data_from_mindat,structure_type,a,b,c,alpha,beta,gamma,volume,crystal_system,point_group,space_group,multiplicity,lattice,_delta_Gf,_delta_Hf,_delta_Sf,max_age_Ma,_mindat_locality_ID,unique_ages,unique_ages_with_parents,locality_max_age,location,_ref,_excel_id,_rruff_locality_link,_mindat_locality_link
NaAl(UO2)2(SO4)4·18H2O,Bobcookite,4,-8,0,2,1,,,,1,,,,,,,,,2,4,0,36,18,0,A,NaAl^3+^(U^6+^O_2_)_2_(S^6+^O_4_)_4_·18H_2_O,1.53,1,Na Al U S O H,6,6,2,2,6320,"72,76",0,0,1,0,1,46,4.567,210.084,0.827,82,5.382,6.358,441.319,0.847,1,,1,,2014,,0.2,greenish-yellow,2,2.5,2.5,chain,,,Y,N,,7.7912,10.5491,11.2451,68.961,70.909,87.139,812.79,triclinic,-1,P-1,,P,,,,0,38665,2,7,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.557222222222,-110.29694444444",AM102_595,Anthropocene-015,http://rruff.info/mineral_list/locality.php?mineral_name=Bobcookite,https://www.mindat.org/min-46167.html
Na(UO2)(SO4)(OH)·3.5H2O,Feynmanite,1,-2,-1,1,1,,,,,,,,,,,,,1,1,1,8,3.5,1,A,Na(U^6+^O_2_)(S^6+^O_4_)(OH)·3.5H_2_O,1.65,4,Na U S O H,5,6,0,2,6672,"72,76",0,0,1,0,1,,,,,88,4.505,6.459,396.43,0.697,,,0,,2017,,0.0001,greenish-yellow,2,2,2,sheet,,,"N, in press",N,,6.927,8.355,16.21,90,90.543,90,938.1,monoclinic,2/m,P2/n,,P,,,,0,38665,0,0,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.557222222222,-110.29694444444",AM102_595,Anthropocene-015,http://rruff.info/mineral_list/locality.php?mineral_name=Feynmanite,https://www.mindat.org/min-51977.html
(NH4)Na(UO2)2(SO4)2(OH)2·4H2O,Greenlizardite,2,-4,-2,2,1,1,,,,,,,,,,,,2,2,2,10,4,2,A,(N^3+^H_4_)Na(U^6+^O_2_)_2_(S^6+^O_4_)_2_(OH)_2_·4H_2_O,1.75,2,N Na U S O H,6,6,0,1,6644,72,0,0,1,0,1,,,,,76,6.248,6.248,474.842,1,,,0,,2017,,,,,,,sheet,,,"Y, in press",N,,6.83617,9.5127,13.8979,98.636,93.713,110.102,832.49,triclinic,-1,P-1,,P,,,,,,0,0,,,,,http://rruff.info/mineral_list/locality.php?mineral_name=Greenlizardite,https://www.mindat.org/min-51823.html
Na(UO2)(SO4)(OH)·2H2O,Plasilite,1,-2,-1,1,1,,,,,,,,,,,,,1,1,1,5,2,1,A,Na(U^6+^O_2_)(S^6+^O_4_)(OH)·2H_2_O,1.73,4,Na U O S H,5,6,2,2,6330,72,0,0,1,0,1,68,4.087,277.947,0.671,68,4.087,6.087,277.947,0.671,1,,1,,2014,,,yellowish-green,2,2.0-3,2.5,sheet,,,Y,N,,8.7122,13.8368,7.0465,90,112.126,90,786.89,monoclinic,2/m,P21/c,,P,,,,0,38665,2,7,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.557222222222,-110.29694444444",AM102_595,Anthropocene-044,http://rruff.info/mineral_list/locality.php?mineral_name=Plasilite,https://www.mindat.org/min-46145.html
NaCa3(UO2)(SO4)(CO3)3F·10H2O,Schrockingerite,7,-2,-7,4,1,,,,,,,,,3,,,,1,1,4,20,10,0,G,NaCa^2+^_3_(U^6+^O_2_)(S^6+^O_4_)(C^4+^O_3_)_3_F^1-^·10H_2_O,1.93,2,Na Ca U O S C F H,8,6,124,124,4003,"72,89",0,0,1,0,1,102,5.672,578.587,0.85,110,5.781,6.781,635.95,0.852,0,,1,30999,1873,,,yellowish-green,2,2.5,2.5,sheet,liebigite,,Y,N,,9.634,9.635,14.391,91.41,92.33,120.26,1151.286,triclinic,-1,P-1,,P,-8077.3,,,1900,12004,35,103,"Blanka Ore Field, Lindesberg, Västmanland, Sweden","59.72900,15.21142",MD29_150,MD29_150,http://rruff.info/mineral_list/locality.php?mineral_name=Schrockingerite,https://www.mindat.org/min-3584.html
Na2(UO2)(SO4)2·3H2O,Oppenheimerite,2,-4,0,2,2,,,,,,,,,,,,,1,2,0,6,3,0,A,Na_2_(U^6+^O_2_)(S^6+^O_4_)_2_·3H_2_O,1.77,2,Na U S O H,5,6,2,2,6371,72,0,0,1,0,1,36,4.17,150.117,0.807,48,4.585,5.585,220.078,0.821,,,1,,2014,,0.001,yellowish-green,2,2.5,2.5,chain,,,Y,N,,7.9576,8.1952,9.8051,65.967,70.281,84.516,549.1,triclinic,-1,P-1,,P,,,,0,38665,2,7,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.557222222222,-110.29694444444",AM102_595,Anthropocene-040,http://rruff.info/mineral_list/locality.php?mineral_name=Oppenheimerite,https://www.mindat.org/min-46514.html
Na2Mg(UO2)2(SO4)4?18H2O,Wetherillite,4,-8,0,3,2,,,,,,1,,,,,,,2,4,0,36,18,0,A,Na_2_Mg^2+^(U^6+^O_2_)_2_(S^6+^O_4_)_4_·18H_2_O,1.59,2,Na Mg U S O H,6,6,2,2,6340,"72,76",0,0,1,0,1,94,4.576,430.131,0.698,166,5.387,7.375,894.257,0.73,1,,1,,2014,,0.001,greenish-yellow,2,2,2,sheet,,,Y,N,,20.367,6.8329,12.903,90,107.879,90,1709,monoclinic,2/m,P21/c,,P,,,,0,38665,2,7,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.55724,-110.29684",AM102_595,Anthropocene-055,http://rruff.info/mineral_list/locality.php?mineral_name=Wetherillite,https://www.mindat.org/min-46421.html
Na4(UO2)(SO4)3?3H2O,Fermiite,4,-6,0,4,4,,,,,,,,,,,,,1,3,0,6,3,0,A,Na_4_(U^6+^O_2_)(S^6+^O_4_)_3_·3H_2_O,1.8,4,Na U S O H,5,6,1,1,6367,"72,76",0,0,1,0,1,100,4.964,496.386,0.747,124,5.212,6.954,646.32,0.749,,,1,,2014,,0.0005,greenish-yellow,2,2.5,2.5,chain,,,Y,N,,11.8407,7.8695,15.3255,90,90,90,1428,orthorhombic,mm2,Pmn2,,P,,,,0,38665,1,6,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.557222222222,-110.29694444444",AM102_595,Anthropocene-020,http://rruff.info/mineral_list/locality.php?mineral_name=Fermiite,https://www.mindat.org/min-46506.html
(NH4)2Na4[(UO2)2(SO4)5]·4H2O,Pseudomeisserite-(NH4),6,-10,0,6,4,2,,,,,,,,,,,,2,5,0,8,4,0,A,,,,,,,,,,,,,,,,,,,,,,#NUM!,,#NUM!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na5(UO2)(SO4)3(SO3OH)(H2O),Meisserite,5,-8,-1,5,5,,,,,,,,,,,,,1,4,1,3,1,1,A,Na_5_(U^6+^O_2_)(S^6+^O_4_)_3_(S^6+^O_3_OH)(H_2_O),1.72,2,Na U O S H,5,6,1,1,6204,"72,76",0,0,1,0,1,58,4.892,283.763,0.835,64,5.031,6,322,0.839,1,,1,,2013,,0.0003,green,2,2,2,chain,Meisserite,,Y,N,,5.32317,11.5105,13.5562,102.864,97.414,91.461,801.739,triclinic,-1,P-1,,P,,,,0,38665,1,6,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.557222222222,-110.29694444444",AM102_595,Anthropocene-036,http://rruff.info/mineral_list/locality.php?mineral_name=Meisserite,https://www.mindat.org/min-43905.html
